company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
MOUNTBATTEN ISLE OF WIGHT LIMITED,02929267,Active,Private limited by guarantee without share capital,,,1994-05-16,,,86101,"Earl Mountbatten Hospice Halberry Lane Newport PO30 2ER "
AVALON HOUSE INTERNATIONAL LIMITED,03056849,Active,Private limited company,,,1995-05-16,,,68100 68209 68320,9 St John's Place Newport PO30 1LH United Kingdom
THE EARTH MUSEUM TRADING LIMITED,12042302,Active,Private limited company,,,2019-06-10,,,47789 47910 62090 91020,Raven's Ridge York Road Totland Bay PO39 0HB United Kingdom
TECHLEC LIMITED,06605827,Active,Private limited company,,,2008-05-29,,,41202 43210,"Unit 1, Atlantis Court Ryde Business Park Nicholson Road Ryde PO33 1FB "
WICKHAM CONSTRUCTION IOW LTD,14929328,Active,Private limited company,,,2023-06-12,,,41202,12 Willowdene Court Bembridge PO35 5SS England
EVENT LED SIGNS LIMITED,10617706,Active,Private limited company,,,2017-02-14,,,63990,Oak Cottage Ashey Road Ryde PO33 4BD United Kingdom
BOON SERVICES LIMITED,15776092,Active,Private limited company,,,2024-06-13,,,71122,East Quay Kite Hill Wootton Bridge Ryde PO33 4LA England
MACKENZIES ACCOUNTANTS LIMITED,03644565,Active,Private limited company,,,1998-10-06,,,69201,"1 Langley Court Pyle Street Newport PO30 1LA "
MELCOMBE HOUSE MANAGEMENT COMPANY LIMITED,03580714,Active,Private limited company,,,1998-06-12,,,98000,"8 Gunville Road Newport PO30 5LB "
ACORN CARE SERVICE LTD,04854070,Active,Private limited company,,,2003-08-01,,,86900,"12 Redstone Business Centre Marsh Close Sandown PO36 8EU "
HELLENIC INNOVATORS LTD,13447454,Active,Private limited company,,,2021-06-09,,,74909,Arnold House 2 New Road Brading Sandown PO36 0DT England
AJAR HOMES LTD,10808835,Active,Private limited company,,,2017-06-08,,,68209,Glencliff Park Avenue Ventnor PO38 1LF England
H. PAUL & SON (COACH TOURS) LIMITED,00722357,Active,Private limited company,,,1962-04-26,,,74990,East Quay Kite Hill Wootton Bridge PO33 4LA England
HIGH SALTERNS (SEAVIEW) MANAGEMENT COMPANY LIMITED,01262580,Active,Private limited company,,,1976-06-11,,,98000,"8 Gunville Road Newport PO30 5LB "
ISLAND ADULT CHOICES LIMITED,08097319,Active,Private limited company,,,2012-06-08,,,87900,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
CONISTON & WINDERMERE (ISLE OF WIGHT) MANAGEMENT COMPANY LIMITED,04230258,Active,Private limited by guarantee without share capital,,,2001-06-07,,,98000,"8 Gunville Road Newport PO30 5LB "
"ISLE OF WIGHT INDOOR BOWLS CLUB,LIMITED(THE)",00937145,Active,Private limited by guarantee without share capital,,,1968-08-13,,,93110 93120,Isle Of Wight Indoor Bowls Club Brading Road Ryde PO33 1QG England
ISLAND COMPOSITES LIMITED,13185549,Active,Private limited company,,,2021-02-08,,,32990,Unit 4 12 East Street Ryde PO33 1JP England
OAKLEIGH COURT MANAGEMENT COMPANY (RYDE) LIMITED,03206541,Active,Private limited company,,,1996-06-03,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham PO32 6LW "
BLACK AND WIGHT LIMITED,12616611,Active,Private limited company,,,2020-05-21,,,22290,Olive Cottage Carpenters Road St Helens Ryde PO33 1YQ United Kingdom
SURF MAROC LTD,10193499,Active,Private limited company,,,2016-05-23,,,70100,"Stockbridge Cottage Newport Road Yarmouth PO41 0YJ "
BAY C0URT MANAGEMENT COMPANY LIMITED,01484677,Active,Private limited company,,,1980-03-12,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham East Cowes PO32 6LW "
FF SCAFFOLDING LTD,13444700,Active,Private limited company,,,2021-06-08,,,43991,68 Albert Road Gurnard PO31 8JU England
DRAFT HAVEN LIMITED,02437379,Active,Private limited company,,,1989-10-30,,,82990,Exchange House St Cross Lane Newport PO30 5BZ England
SAFESITE (ISLE OF WIGHT) LTD,08568100,Active,Private limited company,,,2013-06-13,,,80100,9 Trafalgar Drive Ryde PO33 3QW England
ASHBY'S AUTOS LIMITED,09595634,Active,Private limited company,,,2015-05-18,,,45200,"Stroud Road Freshwater PO40 9XB "
KETTLETY HOLDINGS LIMITED,14055415,Active,Private limited company,,,2022-04-20,,,64209,7 Carter Avenue Shanklin PO37 7LQ England
FH OPERATIONS LIMITED,11400147,Active,Private limited company,,,2018-06-06,,,55100 56101,9 St John's Place Newport Isle Of Wight PO30 1LH United Kingdom
COMPO TECH DEVELOPMENTS UK LTD,15570914,Active,Private limited company,,,2024-03-17,,,71122 74100,5 Holyrood Street Newport PO30 5AU United Kingdom
SEAHAVEN MAN CO LTD,15571751,Active,Private limited company,,,2024-03-17,,,98000,23 Carter Street Sandown PO36 8DG United Kingdom
JRZG TRADING LIMITED,15572914,Active,Private limited company,,,2024-03-18,,,56101 56102 56103 56210,West Court Farm Limerstone Road Shorwell Newport PO30 3LA United Kingdom
WYATTS CLOSE (NORTHWOOD) LIMITED,05387527,Active,Private limited company,,,2005-03-10,,,98000,"The Estate Office, Church Mews Beatrice Avenue Whippingham PO32 6LW "
LED STOP AND GO LTD,08956339,Active,Private limited company,,,2014-03-24,,,32990 71129 84240,2 Binfield Cottages Mill Lane Binfield Newport PO30 2LA England
IDU HOLDINGS LTD,12237164,Active,Private limited company,,,2019-10-01,,,47910,"Markham House, 36 Carisbrooke Road Newport PO30 1BW United Kingdom"
EASTMOUNT HOTEL LIMITED,05802708,Active,Private limited company,,,2006-05-02,,,55100,"Eastmount Hotel, 10 Eastmount Road, Shanklin Isle Of Wight PO37 6DN "
THE RUSTIC HOG LTD,12425769,Active,Private limited company,,,2020-01-27,,,56210,Arlanza Westlands Totland PO39 0DJ England
WEST WIGHT STORAGE LIMITED,14838190,Active,Private limited company,,,2023-05-01,,,52103,9 St John's Place Newport PO30 1LH United Kingdom
ROSEBEAN LIMITED,12035708,Active,Private limited company,,,2019-06-06,,,56102,10 Scarrots Lane Newport PO30 1JD United Kingdom
BAY VIEW COURT (LAKE) MANAGEMENT LIMITED,02655652,Active,Private limited company,,,1991-10-18,,,98000,"The Estate Office Church Mews Beatrice Avenue Whippingham East Cowes PO32 6LW "
ELSMORE HOLDINGS LIMITED,13418743,Active,Private limited company,,,2021-05-25,,,64209,5 The Courtyard St Cross Business Park Newport PO30 5BF England
PHENIX YOGA LIMITED,08848580,Active,Private limited company,,,2014-01-16,,,96040,Arnold House 2 New Road Brading Sandown PO36 0DT England
CROWD SHARING LTD,11345256,Active,Private limited company,,,2018-05-03,,,62090,Sandalwood Afton Road Freshwater PO40 9TP England
VECTIS 681 LIMITED,07519009,Active,Private limited company,,,2011-02-07,,,96090,Arnold House 2 New Road Brading Sandown PO36 0DT England
BEJEWELED GOSLING LTD,12611888,Active,Private limited company,,,2020-05-19,,,47910,The Old Post Office 3 George Street Ryde PO33 2EB United Kingdom
CLAYTON COURT (FRESHWATER) MANAGEMENT COMPANY LIMITED,01629937,Active,Private limited company,,,1982-04-19,,,98000,1 Langley Court Pyle Street Newport PO30 1LA England
OSCAR GRANT ELECTRICAL LTD,11985090,Active,Private limited company,,,2019-05-08,,,43210,Olive Cottage Carpenters Road St. Helens Ryde PO33 1YQ England
AFPH HOLDINGS LIMITED,13490178,Active,Private limited company,,,2021-07-02,,,64209,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
DOUGHTY NEWNHAM LIMITED,09043749,Active,Private limited company,,,2014-05-16,,,68310,"The Cabin, The Stonehams Yard Station Road Havenstreet Ryde PO33 4DT England"
JFB WIND SERVICES LTD,15740274,Active,Private limited company,,,2024-05-24,,,28110,143 Gunville Road Newport PO30 5LQ United Kingdom
26 GEORGE STREET RTM COMPANY LIMITED,08556083,Active,Private limited by guarantee without share capital,,,2013-06-04,,,99999,"Merston Manor Chapel Lane Merstone Newport PO30 3BZ "
STAYWOOD LIMITED,04442887,Active,Private limited company,,,2002-05-20,,,86900,"Brook House Park Avenue Ventnor PO38 1LE "
EFES BARBER NEW PORT LTD,12789363,Active,Private limited company,,,2020-08-03,,,56102 56103 56290 96020,91a St. James Street Newport PO30 1LB United Kingdom
TCM IT SUPPORT LTD,11970795,Active,Private limited company,,,2019-04-30,,,62090,204 Park Road Cowes PO31 7NE England
BADGER INK DESIGN LTD,12613210,Active,Private limited company,,,2020-05-20,,,47910,The Old Post Office 3 George Street Ryde PO33 2EB United Kingdom
ISLAND RIBS LIMITED,09032208,Active,Private limited company,,,2014-05-09,,,30120,6 Mariners Way Somerton Industrial Estate Cowes PO31 8PD England
MEDINA GARDENS MANAGEMENT LIMITED,05162172,Active,Private limited company,,,2004-06-24,,,98000,"8 Gunville Road Newport PO30 5LB "
SMA (IW) LTD,12798626,Active,Private limited company,,,2020-08-07,,,64999,16c Sandown Road Lake PO36 9JP England
FRANCESCA COURT (IOW) MANAGEMENT COMPANY LIMITED,06371571,Active,Private limited by guarantee without share capital,,,2007-09-14,,,98000,"8 Gunville Road Newport PO30 5LB "
SANDLANDS MANAGEMENT COMPANY LIMITED,02423057,Active,Private limited company,,,1989-09-15,,,98000,"8 Gunville Road Newport PO30 5LB "
ACE SCAFFOLD (UK) LIMITED,05822179,Active,Private limited company,,,2006-05-18,,,43991,"30-32 Somerton Industrial Park Newport Road Cowes PO31 8PA "
THE BLACK SEAGULL LIMITED,07838672,Active,Private limited company,,,2011-11-08,,,56103,36 Union Street Ryde PO33 2LE England
SHANKLIN GAS SERVICES LTD,07917436,Active,Private limited company,,,2012-01-20,,,43220,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
WIGHT DEVELOPMENTS LTD,12020170,Active,Private limited company,,,2019-05-28,,,41100,Dashwood Tennyson Close Yarmouth PO41 0PT England
GOLF ON THE GREEN LTD,08795635,Active,Private limited company,,,2013-11-29,,,47640,"27 Cliff Road Cowes PO31 8BN "
ROSELANDS I.W. MANAGEMENT COMPANY LIMITED,04485849,Active,Private limited company,,,2002-07-15,,,82990,"C/O David Shaw 16 Roselands Totland Bay PO39 0DB "
K1 RETAIL LIMITED,08641391,Active,Private limited company,,,2013-08-07,,,47610 47710 47791 47910,"16 High Street Cowes PO31 7RZ "
L.C.M. SYSTEMS LIMITED,02057541,Active,Private limited company,,,1986-09-23,,,26512,"Unit 15 Newport Business Park Barry Way Newport PO30 5GY "
IMOBI STUDIOS LIMITED,07753015,Active,Private limited company,,,2011-08-25,,,61900,"38 High Street Brading PO36 0DJ "
TAYBERRY CLOSE MANAGEMENT COMPANY LIMITED,12874545,Active,Private limited by guarantee without share capital,,,2020-09-12,,,98000,"30 Chatfield Lodge Newport PO30 1XR "
YONG RONG CO LTD,09641521,Active,Private limited company,,,2015-06-16,,,56103,19 Regent Street Shanklin PO37 7AF England
THE LEAF FOUNDATION,08312345,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2012-11-29,,,93290,"Five Acres Farm Staplers Road Newport PO30 2NB "
HELJIANA PROPERTIES LIMITED,03525772,Active,Private limited company,,,1998-03-11,,,68201,"3 Garfield Road Cowes Ryde PO33 2PS "
CLOVER DRILLING SERVICES LIMITED,03061325,Active,Private limited company,,,1995-05-25,,,09100 71122 72190,"Chevertons Weston Road Totland PO39 0EY "
RJ WILLIAMS & SONS LIMITED,03827599,Active,Private limited company,,,1999-08-18,,,41100 42990,"30 Westfield Park Ryde Isle Of Wight PO33 3AB "
PHENIX RETREATS LTD,11256720,Active,Private limited company,,,2018-03-15,,,93199,Arnold House 2 New Road Brading Sandown PO36 0DT England
WIGHT COAST LTD,14862675,Active,Private limited company,,,2023-05-11,,,56101,Olive Cottage Carpenters Road St. Helens Ryde PO33 1YQ England
MILNE MEMORIAL SPORTS GROUND COMPANY LIMITED(THE),01885131,Active,Private limited by guarantee without share capital,,,1985-02-12,,,56301,"The Clubhouse Milne Memorial Sports Ground Park Road PO31 7NP "
THE MOVEMENT YOGA LTD,12688574,Active,Private limited company,,,2020-06-22,,,93130,Arnold House 2 New Road Brading Sandown PO36 0DT United Kingdom
SHANKLIN JEWELLERS LIMITED,11388922,Active,Private limited company,,,2018-05-30,,,47770,11-13 Regent Street Shanklin PO37 7AF England
REDHEAD AND ROBERTS LIMITED,12778755,Active,Private limited company,,,2020-07-29,,,43390,12 The Brook St Cross Business Park Monks Brook Newport PO30 5XW England
BUILDTEK CONSTRUCTION LTD,08982465,Active,Private limited company,,,2014-04-07,,,41100,The Office 81 Carisbrooke High Street Newport PO30 1NT England
SENSORY SPACE CIC,12235297,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2019-09-30,,,86900,19 St. Johns Avenue Ryde PO33 1ER United Kingdom
ZILCH WASTE SERVICES (IW) LTD,14956861,Active,Private limited company,,,2023-06-23,,,38110,Exchange House St Cross Lane Newport PO30 5BZ England
CANINE COUNTRY RETREAT LIMITED,05499896,Active,Private limited company,,,2005-07-05,,,75000 96090,"Whiterails Whiterails Road Wootton Bridge PO33 4RN "
BEMBRIDGE PROPERTIES (WALLSEND) LIMITED,00865580,Active,Private limited company,,,1965-12-02,,,96090,"3 Garfield Road Ryde Isle Of Wight PO33 2PS "
QUEER & NOW CIC,14869791,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2023-05-15,,,93290,5 Holyrood Street Newport PO30 5AU United Kingdom
ALBERT MEWS (NEWPORT) MANAGEMENT LIMITED,04230415,Active,Private limited company,,,2001-06-07,,,98000,"8 Gunville Road Newport PO30 5LB "
FINTELLEGO LIMITED,06239834,Active,Private limited company,,,2007-05-08,,,62012 74201 74202,"74a St Marys Road Cowes Isle Of Wight PO31 7ST "
1 YORK AVENUE MANAGEMENT COMPANY LIMITED,04765461,Active,Private limited company,,,2003-05-15,,,98000,"8 Gunville Road Newport PO30 5LB "
ALTHOR LTD,15767031,Active,Private limited company,,,2024-06-07,,,56103 56302,"Crown And Bear Rectory Mansion 46-48 High Street Brading, United Kingdom PO36 0DQ United Kingdom"
I 2 S STRATEGIC LTD,12606859,Active,Private limited company,,,2020-05-18,,,64304,The Loft @ Granary Court 128 Pyle Street Newport Isle Of Wight PO30 1JW United Kingdom
ICT MEDIA LTD,07405927,Active,Private limited company,,,2010-10-13,,,82990,"14a Queens Road Ryde PO33 3BG "
CARSON MEWS MANAGEMENT COMPANY LIMITED,05446251,Active,Private limited company,,,2005-05-09,,,98000,"8 Gunville Road Newport PO30 5LB "
WATERSIDE MANAGEMENT 2016 LIMITED,10141665,Active,Private limited company,,,2016-04-22,,,68320,The Estate Office Beatrice Avenue East Cowes PO32 6LW England
WYDFORD HOUSE RTM COMPANY LTD,06879492,Active,Private limited by guarantee without share capital,,,2009-04-16,,,98000,"The Estate Office Church Mews Whippingham PO32 6LW "
J.M.C. AG LIMITED,02418351,Active,Private limited company,,,1989-08-31,,,77310,"9 St. Johns Place Newport PO30 1LH "
VESTAS OFFSHORE WIND BLADES UK LTD,09170456,Active,Private limited company,,,2014-08-11,,,28110 33190,"West Medina Mills Stag Lane Newport PO30 5TR "
HAYES RESIDENTS ASSOCIATION LIMITED,08085967,Active,Private limited by guarantee without share capital,,,2012-05-28,,,68320,"Flat 3 The Hayes Baring Road Cowes PO31 8DW "
HORUS IOW LIMITED,14432929,Active,Private limited company,,,2022-10-20,,,56302 96090,5 Holyrood Street Newport PO30 5AU United Kingdom
KREATIVE STUDIOS LTD,10813509,Active,Private limited company,,,2017-06-12,,,74100,The Green Hangar Scotchells Brook Lane Sandown PO36 0JP United Kingdom
TRIMARINE ADVANCED MARINE PROJECTS LTD.,03100744,Active,Private limited company,,,1995-09-11,,,70229,"Exchange House St Cross Lane Newport PO30 5BZ "
E.U. AND F.T. TAYLOR LIMITED,00650247,Active,Private limited company,,,1960-02-23,,,01420 55300,"Bembridge Farm Sandown Road Bembridge PO35 5PW "
SUN KISSED (IOW) LIMITED,11609393,Active,Private limited company,,,2018-10-08,,,96090,East Quay Kite Hill Wootton Bridge PO33 4LA England
WINE THERAPY LLP,OC362356,Active,Limited liability partnership,,,2011-03-02,,," ","28 High Street Cowes PO31 7RS "
RICK TOMLINSON PHOTOGRAPHY LTD,06925374,Active,Private limited company,,,2009-06-05,,,74202,"9 St. Johns Place Newport PO30 1LH "
PETER BRIDGES SOUND LIMITED,09437078,Active,Private limited company,,,2015-02-12,,,59113,Arnold House 2 New Road Brading Sandown PO36 0DT England
WP RECRUITMENT & HR LTD,09843406,Active,Private limited company,,,2015-10-27,,,78200,Corner House 68-70 Lugley Street Newport Isle Of Wight PO30 5ET United Kingdom
ST GEORGE'S PHYSIOTHERAPY LIMITED,04460720,Active,Private limited company,,,2002-06-13,,,86900,"St James House 3 Lower St James Street Newport PO30 5HE "
TRABUS LIMITED,06155396,Active,Private limited company,,,2007-03-13,,,62020,Arnold House 2 New Road Brading Sandown PO36 0DT England
R.A.MARSHALL LIMITED,00207147,Active,Private limited company,,,1925-07-08,,,43220,"Shore Cottage The Esplanade East Cowes PO32 6AD "
LOVES LETTINGS LIMITED,13261097,Active,Private limited company,,,2021-03-11,,,68100,8 Ventnor Road Apse Heath Sandown PO36 0JT United Kingdom
THE COLONNADE 1994 LIMITED,02966735,Active,Private limited company,,,1994-09-09,,,98000,"8 Gunville Road Newport PO30 5LB "
LEMLEC CONTRACTORS LIMITED,15920136,Active,Private limited company,,,2024-08-27,,,43210,Mackenzies Accountants 1 Langley Court Pyle Street Newport PO30 1LA England
THE HAVELOCK (ISLE OF WIGHT) LTD,12319369,Active,Private limited company,,,2019-11-18,,,55100,"The Havelock 2 Queens Road Shanklin PO37 6AN "
SCOTT'S HAIR LIMITED,08292557,Active,Private limited company,,,2012-11-13,,,96020,"2 Church Street Ventnor PO38 1SW "
ORCHARD PARK PROPERTY SERVICES LIMITED,08710730,Active,Private limited company,,,2013-09-30,,,68209 68320,3 Orchard Park Swains Road Bembridge PO35 5XR England
ADMIRAL GARDENS MANAGEMENT COMPANY LIMITED,02641140,Active,Private limited company,,,1991-08-28,,,98000,30 Chatfield Lodge Newport PO30 1XR England
WIGHT STONEMASONRY LIMITED,04873856,Active,Private limited company,,,2003-08-21,,,96090,"Exchange House St. Cross Lane Newport PO30 5BZ "
DEAN PARKMAN ARCHITECTURE LIMITED,10908869,Active,Private limited company,,,2017-08-10,,,71111,Corner House 68-70 Lugley Street Newport PO30 5ET England
PURE ISLE CLEAN LTD,15921712,Active,Private limited company,,,2024-08-28,,,81210,5 Haines Close Ryde PO33 3FA United Kingdom
EVOLUTION LEADERSHIP DEVELOPMENT LTD,12084833,Active,Private limited company,,,2019-07-04,,,96090,Exchange House St Cross Lane Newport PO30 5BZ England
ASPEN FINANCIAL (COWES) LIMITED,11085803,Active,Private limited company,,,2017-11-28,,,66290,Exchange House St. Cross Lane Newport PO30 5BZ United Kingdom
VICTORIA WALK MANAGEMENT COMPANY LIMITED,07351070,Active,Private limited by guarantee without share capital,,,2010-08-19,,,98000,Ermc 128 Pyle Street Granary Court Newport PO30 1JW United Kingdom
WIGHT SOUND HEARING LIMITED,03903862,Active,Private limited company,,,2000-01-10,,,86900,"12 High Street Shanklin PO37 6LB "
M.S. HOLDINGS (I.O.W.) LIMITED,01300504,Active,Private limited company,,,1977-02-28,,,46180 46620,"Endeavour Court Nicholson Road Ryde PO33 1FD "
VENTNOR ARTS CLUB LTD,08172554,Active,Private limited company,,,2012-08-08,,,56301,"13 High Street Ventnor PO38 1RZ "
21 CARTER AVENUE MANAGEMENT LIMITED,07813115,Active,Private limited company,,,2011-10-18,,,98000,Flat 2 Bowling View 21 Carter Avenue Shanklin PO37 7LG United Kingdom
LATERAL LIVING IOW LTD,15042608,Active,Private limited company,,,2023-08-01,,,41100 81300,Arnold House 2 New Road Brading Sandown PO36 0DT England
WYLD PARTIES LIMITED,11771101,Active,Private limited company,,,2019-01-16,,,90020,69 Wellington Road Newport PO30 5PX England
IOW RESIDENTIAL LIMITED,06767575,Active,Private limited company,,,2008-12-08,,,68310,Trigg House Monks Brook St Cross Business Park Newport PO30 5WB United Kingdom
CENTRAL GARAGE (NEWPORT) LIMITED,00997405,Active,Private limited company,,,1970-12-17,,,45111,"Central Garage Riverway Newport PO30 5UX "
THE SHIDE COURT ASSOCIATION LIMITED,04390158,Active,Private limited company,,,2002-03-08,,,98000,"378 Fairlee Road Newport Isle Of Wight PO30 2JX "
HUSH VENUES LIMITED,12487192,Active,Private limited company,,,2020-02-27,,,47910 77291 90020,69 Wellington Road Newport PO30 5PX England
THE PLAY HUT IOW LTD,15948276,Active,Private limited company,,,2024-09-10,,,32409,25 Newnham Road Binstead PO33 3TE United Kingdom
VIKING BLINDS LIMITED,02233724,Active,Private limited company,,,1988-03-22,,,43390,Exchange House St Cross Lane Newport PO30 5BZ England
GINGER CIRCUS LTD,11180557,Active,Private limited company,,,2018-01-31,,,90010,Arnold House 2 New Road Brading Sandown PO36 0DT England
ROACH PITTIS HOLDINGS LIMITED,13584378,Active,Private limited company,,,2021-08-25,,,64209,60-66 Lugley Street Newport PO30 5EU England
K C CONTRACTS LIMITED,08680597,Active,Private limited company,,,2013-09-06,,,43210,63 Lowtherville Road Ventnor PO38 1AP England
THE ROYAL YACHT SQUADRON ISLE OF WIGHT FOUNDATION,09138930,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2014-07-21,,,94990,"The Castle Cowes PO31 7QT "
THE VETERANS HUB (IOW) C.I.C.,13024589,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2020-11-16,,,96040,162 High Street Ryde PO33 2HT United Kingdom
DINEEN AND COMPANY LIMITED,02733669,Active,Private limited company,,,1992-07-23,,,25990,Flat A Bourne House Church Hill Totland Bay PO39 0ET England
DAY IN DAY OUT LIMITED,15923899,Active,Private limited company,,,2024-08-29,,,90020,5 Holyrood Street Newport PO30 5AU United Kingdom
SOUTH WIGHT AREA YOUTH PARTNERSHIP,09186090,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2014-08-21,,,88990,"Downsview Newport Road Whitwell Ventnor PO38 2QW "
OTA LABS LTD,15484113,Active,Private limited company,,,2024-02-12,,,61200,39 Woodvale Road 39 Woodvale Road Cowes PO31 8EE England
C DEACON LIMITED,09195437,Active,Private limited company,,,2014-08-29,,,69201,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT England
THE COMMON SPACE,09627490,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2015-06-08,,,85520 86900 91040,The Bunker Offices At Browns Golf Course Culver Parade Yaverland PO36 8QA England
CHETAGOLD LIMITED,15085300,Active,Private limited company,,,2023-08-21,,,99999,3 Larkspur Close Newport PO30 2GG United Kingdom
IN HOT WATER? LIMITED,12010378,Active,Private limited company,,,2019-05-22,,,43220,Olive Cottage Carpenters Road St. Helens Ryde PO33 1YQ England
TRACKER MARINE LIMITED,05186034,Active,Private limited company,,,2004-07-21,,,25120,"Unit 1 Newbarn Business Park Merstone Newport PO30 3BT "
14/15 LIND STREET RESIDENTS ASSOCIATION LIMITED,01955959,Active,Private limited company,,,1985-11-07,,,98000,"8 Gunville Road Newport PO30 5LB "
GAUNTLETS & GOWNS EVENTS LIMITED,14345115,Active,Private limited company,,,2022-09-08,,,96090,Olive Cottage Carpenters Road St. Helens Ryde PO33 1YQ England
ANDREW WALLIS LIMITED,08684743,Active,Private limited company,,,2013-09-10,,,81300,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
PEACHY PRODUCTIONS (LONDON) LTD,05557468,Active,Private limited company,,,2005-09-08,,,82990,"Exchange House St. Cross Lane Newport PO30 5BZ "
Q2DB LIMITED,03638556,Active,Private limited company,,,1998-09-25,,,68209,Brookside Cottage Winkle Street Calbourne Newport PO30 4JF England
ALPHA ELECTRICAL IW LTD,14540220,Active,Private limited company,,,2022-12-14,,,43210,Badgers Dell 70 Cockleton Lane Cowes PO31 8QD United Kingdom
IVY BANK MANAGEMENT COMPANY LIMITED,02421806,Active,Private limited company,,,1989-09-12,,,98000,30 Chatfield Lodge Newport PO30 1XR England
WHZAN LIMITED,11713530,Active,Private limited company,,,2018-12-05,,,62090,79 George Street Ryde PO33 2JF United Kingdom
HARRIS & ROWE (HOLDINGS) LIMITED,02816719,Active,Private limited company,,,1993-05-11,,,68209,"9 St. Johns Place Newport PO30 1LH "
SPRINGFIELD COURT (SEAVIEW ISLE OF WIGHT) MANAGEMENT COMPANY LIMITED,05215477,Active,Private limited company,,,2004-08-26,,,98000,Ermc Limited 128 Pyle Street Newport PO30 1JW England
SYNERGISTICS CONSULTING LIMITED,04964732,Active,Private limited company,,,2003-11-14,,,70229,"Devonia Baring Road Cowes PO31 8DW "
INVICTUS MEDICAL SERVICES LIMITED,09974992,Active,Private limited company,,,2016-01-28,,,86900,39 Ashey Road Ryde PO33 2UT United Kingdom
JABLADES LTD,14710960,Active,Private limited company,,,2023-03-07,,,35110,20 Oaklyn Gardens Shanklin PO37 7DG United Kingdom
SOUTHERN DEBT SERVICES LTD,13052094,Active,Private limited company,,,2020-11-30,,,82911,Unit 11 Prospect Park Prospect Road Cowes PO31 7AD United Kingdom
THE MINSTERS SLADE ROAD RESIDENTS ASSOCIATION LIMITED,02809286,Active,Private limited company,,,1993-04-15,,,98000,"The Estate Office Church Mews, Whippingham East Cowes PO32 6LW "
BIG CAT PRODUCTIONS LIMITED,10366556,Active,Private limited company,,,2016-09-08,,,59111 59112 74100,"St Thomas House C/O Aligned Accounting St. Thomas House, St. Thomas Square Newport PO30 1SL United Kingdom"
MEDISLIM LIMITED,02281652,Active,Private limited company,,,1988-07-28,,,86900,"136-137 Pyle Street Newport Isle Of Wight PO30 1JW "
WIGHT MORTGAGES LTD,06998216,Active,Private limited company,,,2009-08-24,,,65110 65120 66190 66220,"42 Quay Street Newport PO30 5BA "
WINDOW WASHERS IOW LTD,09582703,Active,Private limited company,,,2015-05-08,,,81221,Olive Cottage Carpenters Road St. Helens Ryde PO33 1YQ England
VENTURE HEROES LIMITED,09003479,Active,Private limited company,,,2014-04-22,,,73110,Store It Building Suite 1 Nicholson Road Ryde PO33 1BE England
VISUAL IMPACT MOBILE DISPLAYS LIMITED,11603851,Active,Private limited company,,,2018-10-04,,,77291,1 Langley Court Pyle Street Newport PO30 1LA England
JLM JOINERY IOW LIMITED,08986362,Active,Private limited company,,,2014-04-08,,,41202,27 South Bank Road East Cowes PO32 6JB England
WJMASON LIMITED,10615117,Active,Private limited company,,,2017-02-13,,,43290,Calamint Cottage Rowridge Lane Newport PO30 4HT England
SHANKLIN HK CITY LIMITED,10952949,Active,Private limited company,,,2017-09-08,,,56103,112 Regent Street Shanklin Isle Of Wight PO37 7AP United Kingdom
THE EIGHT BELLS IOW LIMITED,14319939,Active,Private limited company,,,2022-08-26,,,56302,The Eight Bells 31 Carisbrooke High Street Newport PO30 1NR United Kingdom
BEMBRIDGE AIRPORT LIMITED,04017491,Active,Private limited company,,,2000-06-19,,,52230,"Bembridge Farm Sandown Road Bembridge PO35 5PW "
RYDEPORT (2000) LIMITED,13802830,Active,Private limited company,,,2021-12-15,,,52220,Ryde House Binstead Road Ryde PO33 3FE England
NRCO LIMITED,09267552,Active,Private limited company,,,2014-10-16,,,90020,"44 Monkton Street Ryde PO33 2BB "
CHASAB LIMITED,03671205,Active,Private limited company,,,1998-11-20,,,68100,"Exchange House St. Cross Lane Newport PO30 5BZ "
LAWNS COURT 39 CARTER STREET MANAGEMENT LIMITED,09670594,Active,Private limited company,,,2015-07-03,,,98000 99999,"The Estate Office Church Mews Beatrice Avenue East Cowes PO32 6LW "
JANAL LIMITED,03671210,Active,Private limited company,,,1998-11-20,,,46190,"Exchange House St. Cross Lane Newport PO30 5BZ "
YOGA WITH MEG LTD,12198157,Active,Private limited company,,,2019-09-10,,,96040,Arnold House 2 New Road Brading Sandown PO36 0DT England
